ac_number,constituency,region,reserved,party_2026,candidate_2026,winner_votes_2026,total_votes_2026,margin_2026,vote_share_2026,party_2021,candidate_2021,winner_votes_2021,total_votes_2021,margin_2021,vote_share_2021,turnout_2021,seat_status,vote_share_bucket
1,Gummidipoondi,"Chennai Metro",GEN,TVK,S.VIJAYAKUMAR,94320,232522,27945,40.6,DMK,"GOVINDARAJAN T.J",126452,222069,50938,56.9,78.08,Flipped,"35% to 50%"
2,Ponneri,"Chennai Metro",SC,TVK,DR.RAVI.M.S,110439,226819,55768,48.7,INC,"DURAI. CHANDRASEKAR",94528,210354,9689,44.9,78.2,Flipped,"35% to 50%"
3,Tiruttani,"Chennai Metro",GEN,AIADMK,G.HARI,89169,238798,5793,37.3,DMK,S.Chandran,120314,232624,29253,51.7,78.76,Flipped,"35% to 50%"
4,Thiruvallur,"Chennai Metro",GEN,TVK,"DR. T. ARUNKUMAR",92190,226428,24760,40.7,DMK,"RAAJENDRAN, V.G.",107709,214243,22701,50.3,77.2,Flipped,"35% to 50%"
5,Poonamallee,"Chennai Metro",SC,TVK,PRAKASAM.R,161309,308894,72740,52.2,DMK,"Krishnaswamy A",149578,263736,94110,56.7,72.99,Flipped,"Above 50%"
6,Avadi,"Chennai Metro",GEN,TVK,"R.RAMESH KUMAR",180384,346005,76311,52.1,DMK,"Nasar S M",150287,300927,55275,49.9,67.37,Flipped,"Above 50%"
7,Maduravoyal,"Chennai Metro",GEN,TVK,"RHEVANTH CHARAN",141725,293692,61509,48.3,DMK,GANAPATHY.K,121298,273870,31721,44.3,60.3,Flipped,"35% to 50%"
8,Ambattur,"Chennai Metro",GEN,TVK,BALAMURUGAN.G,133339,259986,58781,51.3,DMK,"JOSEPH SAMUEL",114554,240299,42146,47.7,62.01,Flipped,"Above 50%"
9,Madavaram,"Chennai Metro",GEN,TVK,M.L.VIJAYPRABHU,190462,361998,94985,52.6,DMK,"SUDHARSANAM. S",151485,302700,57071,50.0,66.37,Flipped,"Above 50%"
10,Thiruvottiyur,"Chennai Metro",GEN,TVK,"SENTHIL KUMAR. N",110067,207088,53564,53.1,DMK,K.P.SHANKAR,88185,199996,37661,44.1,65.15,Flipped,"Above 50%"
11,"Dr.Radhakrishnan Nagar","Chennai Metro",GEN,TVK,"N. MARIE WILSON",97800,181206,49668,54.0,DMK,"EBENEZER. J.J. (@)  JOHN EBENEZER.J",95763,187027,42479,51.2,70.98,Flipped,"Above 50%"
12,Perambur,"Chennai Metro",GEN,TVK,"C. JOSEPH VIJAY",120365,204384,53715,58.9,DMK,"SHEKAR. R.D",105267,200387,54976,52.5,63,Flipped,"Above 50%"
13,Kolathur,"Chennai Metro",GEN,TVK,"V. S. BABU",82997,184051,8795,45.1,DMK,"M.K. STALIN",105522,173388,70384,60.9,61.04,Flipped,"35% to 50%"
14,Villivakkam,"Chennai Metro",GEN,TVK,"AADHAV ARJUNA",66445,141452,17302,47.0,DMK,"A . Vetriazhagan",76127,144092,37237,52.8,55.92,Flipped,"35% to 50%"
15,Thiru-Vi-Ka-Nagar,"Chennai Metro",SC,TVK,"M. R. PALLAVI",69125,143903,22333,48.0,DMK,SIVAKUMAR.P,81727,133696,55013,61.1,60.62,Flipped,"35% to 50%"
16,Egmore,"Chennai Metro",SC,TVK,RAJMOHAN,53901,119738,10804,45.0,DMK,I.PARANTHAMEN,68832,119271,38768,57.7,61.13,Flipped,"35% to 50%"
17,Royapuram,"Chennai Metro",GEN,TVK,"K.V. VIJAY DAMU",59091,127356,14249,46.4,DMK,MURTHY.R.IDREAM,64424,121191,27779,53.2,62.6,Flipped,"35% to 50%"
